"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,31,Fabricage van gipswaren,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,31,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,32,Fabricage van kalk,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,32,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,33,id.,D,,,,,,,,,,,,,,1,1,,,,,,,3,1,,,5,2,,,,1,,,,,,,,,,,,,,,,,,,9,5,,,9,5,33,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,34,Fabricage van krijt (incl. teekenkrijt),D,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,34,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,35,Fabricage van tras.,A,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,35,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,36,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,3,1,,,3,1,36,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,37,Vormstekers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,37,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,e,,"Steenen, dakpannen, draineerbuizen, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,,,38,Fabricage van dakpannen (pannenbakkers),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,38,BT ,1889_02_T1,2,3,HET RIJK,29_0370
,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,1,"Fabricage van steen (molensteen, steenbakkers, tegelbakkers)",A,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,3,,,,1,,,,,,,,,,,,,,,,6,1,,,6,1,1,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,2,id,C,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,3,id,D,,,,,,,,2,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,3,4,3,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,4,Molensteenscherpers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,4,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,5,Steenhouwers,A,,,,,,,,1,,,,,,,,,,2,,,,23,3,,,34,4,,,15,1,,,5,,,,2,,,,1,,,,,,,,82,9,,,82,9,5,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,6,id,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,6,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,7,id,C,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,7,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,8,id,D,,,,4,,11,,41,,,33,,,6,106,,,18,26,,,174,47,,,182,17,1,,32,4,,,8,,,,6,,,,1,,,,,,,,427,289,1,,428,289,8,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor I,A,,,,,,,,3,,,1,,,,3,,,4,1,,,36,6,,,46,7,1,,28,3,,,12,,,,6,,,,2,,,,,,,,134,24,1,,135,24,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor I,B,,,,,,,,,,,,,,,1,,,,,,,,1,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,5,2,,,5,2,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor I,C,,,,,,,,,,,,,,,,,,,1,,,5,2,,,10,2,,,5,,,,1,,,,,,,,1,,,,,,,,22,5,,,22,5,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor I,D,,20,,146,17,355,30,1104,80,,1143,,73,249,2077,4,117,362,521,3,32,1820,807,10,50,1113,114,5,3,386,24,2,,87,4,1,,62,2,,,19,,,,,,,,4098,6317,25,402,4123,6719,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor groep I,,,20,0,146,17,355,30,1107,80,0,1144,0,73,249,2081,4,117,366,523,3,32,1861,816,10,50,1172,123,6,3,420,27,2,0,101,4,1,0,68,2,0,0,22,0,0,0,0,0,0,0,4259,6348,26,402,4285,6750,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,II,,,"Boek- en steendrukkerij, hout-, koper-, staalgravure, photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,a,,"Boekdrukkerij, lettervaardiging; enz. (incl. Landsdrukkerij)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,9,Boekbinders,A,,,,,,,,1,,,,,,,3,,,,4,,,31,7,,,57,7,1,,28,3,,,6,,1,,10,1,,,8,,,,1,,,,141,26,2,,143,26,9,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,10,id,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,11,id,C,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,11,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,12,id,D,,4,,11,,50,3,162,4,,100,,4,4,177,,4,14,44,,,47,81,,,113,28,,,46,7,,,14,1,,,20,,,,4,,,,,,,,262,665,,15,262,680,12,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,13,Boekdrukkers,A,,,,,,,,,,,,,,,2,,,1,4,,,29,12,,,46,7,,,21,3,1,,8,1,1,,4,,1,,1,,1,,,,,,110,29,4,,114,29,13,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,14,id,B,,,,,,,,,,,,,,,1,,,,1,,,1,,,,7,,,,1,,,,,,1,,,,,,,,,,,,,,9,2,1,,10,2,14,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,15,id,C,,,,,,,,1,,,,,,,,,,,1,,,9,3,,,12,,,,5,1,,,2,,,,,,,,,,,,,,,,28,6,,,28,6,15,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,16,id,D,,2,,20,,48,,121,,,80,,,9,162,,,20,29,,1,81,48,,2,103,18,,,45,3,,,23,2,,,15,,,,9,,,,,,,,305,533,,3,305,536,16,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,17,Lettergieters,A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,3,,17,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,18,id,D,,,,,,2,,7,,,3,,,,6,,,1,4,,,7,6,,,12,2,,,4,,,,1,,,,,,,,,,,,,,,,25,30,,,25,30,18,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,19,Letterzetters,C,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,7,,,,7,,19,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,20,id,D,,3,,17,,53,,177,,,185,,,14,298,,,32,74,,,325,97,,,248,37,,,102,6,,,42,1,,,17,2,,,5,,,,,,,,785,950,,,785,950,20,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,b,,"Steendrukkerij, hout-, koper-, staalgravure, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,21,Linieerders,A,,,,,,,,1,,,2,,,,,,,,,,,,,,,8,,,,2,,,,,,,,1,,,,1,,,,,,,,12,3,,,12,3,21,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,22,id,D,,,,1,,5,,5,1,,3,,,,7,,,1,2,,,7,6,,,15,1,,,2,,,,,,,,,,,,,,,,,,,,25,30,,1,25,31,22,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,23,Plaatdrukkers,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,23,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,24,id,D,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,1,2,24,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,25,Platenkleurders,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,25,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,26,Steendrukkers,A,,,,,,1,,,,,,,,,2,,,2,3,,,18,6,,,35,1,,,14,1,2,,4,,,1,1,,2,,1,,1,,,,,,75,14,5,1,80,15,26,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,27,id,C,,,,,,,,,,,,,,,,,,,1,,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,27,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,28,id,D,,,,12,,49,,76,,1,52,,,8,83,,2,2,26,,,70,41,3,,82,11,3,,26,3,5,,7,,3,,2,,,,,,,,,,,,198,353,14,2,212,355,28,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,c,,"Photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,29,Photografen,A,,,,,,,,,,,,,,,6,,,,3,,,18,13,,,44,9,,,21,,,,2,,,,2,,,,,,2,,,,,,87,31,2,,89,31,29,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,30,id,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,30,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,31,id,D,,,,,,7,,25,,,19,,,,34,,1,1,12,,,15,22,,,18,3,,,2,,,,,,,,1,,1,,,,,,,,,,37,122,1,1,38,123,31,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,32,Retoucheurs,D,,,,,,,,,,,1,,,,2,,,,1,,,2,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,5,6,,1,5,7,32,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor II,A,,,,,,1,,2,,,2,,,,13,,,3,14,,,98,39,,,190,24,1,,87,7,3,,20,1,2,1,18,1,3,,12,,4,,1,,,,429,104,13,1,442,105,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor II,B,,,,,,,,,,,,,,,1,,,,1,,,1,,,,7,1,,,2,,,,,,1,,,,,,,,,,,,,,10,3,1,,11,3,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor II,C,,,,,,,,1,,,,,,,,,,,2,,,14,5,,,16,,,,7,1,,,3,,,,,,,,,,,,,,,,40,9,,,40,9,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor II,D,,9,,61,,214,3,573,5,1,443,,4,35,771,,7,71,192,,1,554,302,3,3,594,101,3,,227,19,5,,88,4,3,,56,2,1,,18,,,,,,,,1644,2691,15,23,1659,2714,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,,,,Totaal voor groep II,,,9,,61,,215,3,576,5,1,445,,4,35,785,,7,74,209,,1,667,346,3,3,807,126,4,,323,27,8,,111,5,6,1,74,3,4,,30,,4,,1,,,,2123,2807,29,24,2152,2831,,BT ,1889_02_T1,4,5,HET RIJK,29_0371
,III,,,"Bouwbedrijven, (incl. reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten; ook gemeentelijke dienst)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,a,,"Gas- en waterleiding, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,1,Aanleggers gas- en waterleiding,A,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,2,,,,,,,,,,,,,,,,,,,,7,1,,,7,1,1,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,2,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,3,id.,D,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,5,2,,,5,2,3,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,4,Kraansluiters (waterleiding),D,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,1,,,,1,,,,,,,,,,,,,,,,8,,,,8,,4,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,5,Waterleidingexploitatie,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,6,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,4,,,,4,,6,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,7,id.,C,,,,,,,,,,,,,,,,,,1,1,,,5,5,,,14,1,,,3,,,,2,,,,,,,,,,,,,,,,25,7,,,25,7,7,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,8,id.,D,,,,,,,,,,,1,,,,4,,,1,1,,,15,4,,,24,,,,13,,,,4,,,,,,,,2,,,,,,,,59,10,,,59,10,8,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,b,,"Bouw van huizen, molens, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,9,Architecten,A,,,,,,1,,,,,,,,,10,,,2,10,,,42,42,,,52,16,,,23,1,,,8,,,,4,1,,,7,2,,,,,,,138,83,,,138,83,9,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,10,"Dekkers (lei-, pannen, stroo- en riet-)",A,,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,8,,,,8,,10,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,11,id.,D,,,,,,,,1,,,1,,,,4,,,,,,,6,1,,,3,,,,,,,,,,,,1,,,,,,,,,,,,10,7,,,10,7,11,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,12,Fundeeringmakers,D,,,,,,,,,,,,,,,1,,,,,,,3,1,,,3,,,,,,,,2,,,,,,,,,,,,,,,,8,2,,,8,2,12,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,13,Glazenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,4,,,,4,,13,BT ,1889_02_T1,6,7,HET RIJK,29_0372
,,,14,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,14,BT ,1889_02_T1,6,7,HET RIJK,29_0372
