"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,21,id.,D,,,,2,,5,,11,,,4,,,1,17,,,2,1,,,6,3,,,10,,,,2,,,,,,,,1,,,,1,,,,,,,,23,43,,,23,43,21,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,22,Letterzetters,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,22,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,23,id.,D,,,,3,,9,,20,,,22,,,1,44,,,3,7,,,33,12,,,20,4,,,7,,,,1,,,,,,,,,,,,,,,,65,121,,,65,121,23,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,B.,,"Steendrukkerij, hout-, koer-, staalgravure, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,24,Steendrukkers,A,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,4,,24,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,25,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,25,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,26,id.,D,,,,1,,3,,10,,,7,,,,8,,,,1,,,7,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,11,33,,,11,33,26,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,2,3,HET RIJK,30_0003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0004,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,II,C.,,"Photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,1,Photografen,A,,,,,,,,,,,,,,,,,,,,,,3,3,,,5,1,1,,1,,,,,,,,,,,,,,,,,,,,9,4,1,,10,4,1,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,2,id.,D,,,,,,2,,2,,,4,,,,2,,1,,2,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,14,,1,2,15,2,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,3,Retoucheurs,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,Totaal voor II,A,,,,,,,,,,,,,,,,,,,1,,,10,4,,,16,2,1,,8,1,,,6,,,,,,,,,,,,,,,,40,8,1,,41,8,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,Totaal voor II,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,Totaal voor II,C,,,,,,,,,,,,,,,5,,,,3,,,1,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,5,9,,,5,9,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,Totaal voor II,D,,,,10,,24,,61,,,45,,,2,84,,1,6,13,,,54,29,,,36,4,,,11,,,,2,,,,2,,,,1,,,,,,,,114,270,,1,114,271,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,Totaal voor groep II,,,0,0,10,0,24,0,61,0,0,45,0,0,2,89,0,1,6,17,0,0,65,33,0,0,54,7,1,0,21,1,0,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,159,287,1,1,160,288,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,III,,,"Bouwbedrijven (incl. reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten; ook gemeentelijke dienst).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,A.,,Gas- en waterleiding. Enz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,4,Aanleggers gas- en waterleiding,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,4,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,5,id.,D,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,6,Waterleidingexploitatie,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,6,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,7,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,7,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,8,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,6,,8,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,B,,"Bouw van huizen, molens, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,9,Architecten,A,,,,,,,,,,,,,,,3,,,,,,,2,1,,,7,,,,1,,,,1,,,,1,,,,,,,,,,,,12,4,,,12,4,9,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,10,Loodgieters,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,3,,1,,,,,,,,,,,,,,,,,,7,,1,,8,,10,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,11,id.,D,,,,,,,,1,,,2,,,,9,,,1,1,,,1,3,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,7,16,,,7,16,11,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,12,Metselaars,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,12,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,13,id.,D,,,,,,,,,,,1,,,,12,,,2,3,,,36,8,,,45,5,,,18,,,,3,,,,3,,,,2,,,,,,,,109,29,,,109,29,13,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,14,Molenmakers,A,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,4,,14,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,15,Opperlieden,D,,,,1,,,,,,,2,,,,5,,,3,1,,,16,6,,,20,3,,,17,,,,5,,,,,,,,,,,,,,,,61,18,,,61,18,15,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,16,Pompmakers,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,16,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,17,Steenkloppers (bikkers),D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,3,1,,,3,1,17,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,18,Timmerlieden,A,,,,,,,,,,,,,,1,2,,,5,2,,,42,4,,,62,2,,,40,,,,13,1,,,5,,,,3,,,,,,,,171,11,,,171,11,18,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,19,id.,D,,,,,,3,,10,,,15,,,2,60,,,6,15,,,102,44,,,148,9,,,49,3,,,14,,,,16,,,,8,,,,,,,,345,159,,,345,159,19,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,C.,,"Afwerken van huizen, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,20,Behangers,A,,,,,,,,,,,,,,,,,,1,3,,,13,8,,,14,1,1,,3,1,,,,,,,2,,,,,,,,,,,,33,13,1,,34,13,20,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,21,id.,B,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,21,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,22,id.,D,,,,2,,3,,7,,,14,,,,30,,,,7,,,4,5,,,3,,,,1,,,,,,,,,,,,,,,,,,,,8,68,,,8,68,22,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,23,Decoratieschilders,D,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,23,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,24,Huisschilders,A,,,,,,,,,,,,,,,2,,,2,1,,,40,5,,,37,3,2,,12,,1,,11,,,,1,1,,,4,,,,,,,,107,12,3,,110,12,24,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,25,id.,D,,,,4,,5,,5,,,19,,,1,36,,,2,9,,,41,16,,,54,7,,,17,2,,,4,,,,7,,,,3,,,,,,,,129,103,,,129,103,25,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,26,Stukadoors,A,,,,,,,,,,,,,,,,,,1,,,,12,2,,,10,,,,2,,,,2,,,,1,,,,,,,,,,,,28,2,,,28,2,26,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,27,id.,D,,,,,,,,2,,,3,,,2,18,,,2,4,,,15,8,,,16,,,,1,,,,,,,,,,,,,,,,,,,,36,35,,,36,35,27,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,D,,Openbare werken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,28,Aannemers,A,,,,,,,,,,,,,,,,,,,,,,8,1,,,12,1,,,4,,,,1,,,,,,,,,,,,,,,,25,2,,,25,2,28,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,29,Aardwerkers,D,,,,,,,,,,,,,,,2,,,,1,,,9,4,,,10,1,,,10,1,,,3,,,,1,,,,,,,,,,,,33,9,,,33,9,29,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,30,Opzichters,C,,,,,,,,,,,,,,,3,,,,1,,,5,3,,,13,3,,,3,,,,1,,,,2,,,,1,,,,,,,,25,10,,,25,10,30,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,31,Polderwerkers,D,,,,,,,,,,,1,,,,3,,,1,2,,,23,9,,,15,4,,,5,1,,,,,,,,,,,,,,,,,,,44,20,,,44,20,31,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,32,Straatmakers,D,,,,,,,,,,,,,,,,,,,1,,,5,2,,,3,,,,1,,,,,,,,,,,,,,,,,,,,9,3,,,9,3,32,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,E.,,"Reiniging van bouwwerken, wegen en straten.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,33,Baggerlieden,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,33,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,34,Glazenwasschers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,34,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,35,id.,D,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,35,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,36,Openbare reiniging,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,36,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,37,id.,D,,,,,,,,,,,1,,,1,5,,,3,4,,,12,4,,,15,,,,13,1,,,1,,,,3,,,,2,,,,,,,,50,15,,,50,15,37,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,4,5,HET RIJK,30_0004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0005,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,1,Schoorsteenvegers,A,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,1,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,1,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,2,id.,D,,1,,,,1,,4,,,3,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,13,2,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,3,Straatvegers,D,,,,,,,,,,,,,,,,,,2,,,,5,,,,3,1,,,3,,,,,,,,,,,,,,,,,,,,13,1,,,13,1,3,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor III,A,,,,,,,,,,,,,,1,7,,,9,6,,,120,23,,,152,9,3,,68,1,2,,28,1,,,10,1,,,7,,,,,,,,395,48,5,,400,48,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor III,B,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor III,C,,,,,,,,,,,,,,,3,,,,1,,,5,3,,,14,3,,,3,,,,1,,,,2,,,,1,,,,,,,,26,10,,,26,10,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor III,D,,1,,8,,12,,30,,,61,,,6,185,,,22,50,,,271,110,,,340,31,,,141,7,,,31,,,,31,,,,15,,,,,,,,857,495,,,857,495,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,Totaal voor groep III,,,1,0,8,0,12,0,30,0,0,61,0,0,7,195,0,0,31,57,0,0,396,138,0,0,507,43,3,0,213,8,2,0,60,1,0,0,43,1,0,0,23,0,0,0,0,0,0,0,1280,555,5,,1285,555,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_03_T1,6,7,HET RIJK,30_0005
