"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121877",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,32,Fabricage van tras,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,32,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,33,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,33,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,34,Vormstekers,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,34,BT,1889_02_T3,124,125,HET RIJK,29_0431
,E,,"Steenen, dakpannen, draineerbuizen, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,35,Fabricage van dakpannen (pannenbakkers),A,,,,,,,,,,,,,,,,,,,,,,6,,,,11,2,,,5,,,,,,,,1,,1,,1,,,,,,,,24,2,1,,25,2,35,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,36,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,4,2,36,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,37,id.,C,,,,,,,,,,,,,,,1,,,,,,,1,2,,,6,,,,2,,,,1,,,,,,,,,,,,,,,,10,3,,,10,3,37,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,38,id.,D,,1,,3,,3,,13,,,20,,,,30,,1,3,9,,,32,21,,,46,4,,,25,1,,,6,,,,2,,,,2,,,,,,,,116,105,,1,116,106,38,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,39,Fabricage van kunststeen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,39,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,40,id.,D,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,40,BT,1889_02_T3,124,125,HET RIJK,29_0431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,124,125,HET RIJK,29_0431
I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,1,"Fabricage van steen, (molensteen, steenbakkers, tegelbakkers).",A,,,,,,,,,,,,,,,2,,,,1,,,13,10,,,38,14,1,,16,4,3,1,7,,1,,5,,,,5,1,,,,,,,84,32,5,1,89,33,1,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,2,id.,B,,,,,,,,,,,,,,,1,,,,,,,9,1,,,8,,,,2,,,,2,,,,1,,,,,,,,,,,,22,2,,,22,2,2,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,3,id.,C,,,,,,,,,,,,,,,3,,,,3,,,17,4,,,27,,,,13,1,,,5,,,,1,,,,,,,,,,,,63,11,,,63,11,3,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,4,id.,D,,,,9,1,18,1,49,1,,73,,1,6,234,,2,22,92,,,288,140,1,,102,29,2,,144,3,,,45,,1,,23,,,,2,1,,,,,,,632,648,4,6,636,654,4,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,5,Molenscherpers,D,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,5,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,6,Steenhouwers,A,,,,,,,,,,,,,,,2,,,,,,,16,1,,,33,5,1,,13,1,,,4,,1,,2,,,,2,,,,,,,,70,9,2,,72,9,6,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,7,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,8,id.,C,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,8,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,9,id.,D,,,,3,,4,,13,,,20,,,3,42,,,6,15,,,53,24,,,43,5,,,9,,,,1,,,,5,,,,1,,,,,,,,121,126,,,121,126,9,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor I,A,,,,,,,,,,,,,,,4,,,1,3,,,44,16,,,99,25,2,,53,6,5,1,19,,2,,11,,2,,12,1,1,,,,,,239,55,12,1,251,56,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor I,B,,,,,,,,,,,,,,,2,,,,1,,,12,4,,,14,1,,,4,,,,3,,,,1,,,,,,,,,,,,34,8,,,34,8,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor I,C,,,,,,,,,,,,,,,6,,,1,3,,,22,7,,,42,,,,21,2,,,8,,,,3,,,,3,,,,,,,,100,18,,,100,18,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor I,D,,4,,38,11,72,14,163,29,,213,,18,22,468,,46,52,158,2,10,544,252,12,7,722,53,20,3,303,13,25,4,101,1,17,3,60,1,15,1,23,2,2,,,,,,1827,1438,93,146,1920,1584,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor groep I,,,4,0,38,11,72,14,163,29,0,213,0,18,22,480,0,46,54,165,2,10,622,279,12,7,877,79,22,3,381,21,30,5,131,1,19,3,75,1,17,1,38,3,3,0,0,0,0,0,2200,1519,105,147,2305,1666,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
II,,,"Boek- en steendrukkerij, hout-, koper-, staalgravure, photographie, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,A.,,"Boekdrukkerij, lettervervaardiging; enz. (incl Landsdrukkerij).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,10,Boekbinders,A,,,,,,,,,,,,,,,5,,,,6,,,12,11,,,25,6,2,,19,3,,,8,,,,3,,,,8,1,,,,,,,75,32,2,,77,32,10,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,11,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,12,id.,C,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,5,,12,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,13,id.,D,,1,,7,,27,,45,2,,42,,,,81,,,3,16,,,25,24,,,30,3,,,8,7,,,5,,,,2,,,,2,,,,,,,,75,253,,2,75,255,13,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,14,Boekdrukkers,A,,,,,,,,,,,,,,,2,,,2,2,,,28,20,,,56,10,,,26,2,,,8,1,,,3,,,,8,1,1,,,,,,131,38,1,,132,38,14,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,15,id.,B,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,3,,,4,3,15,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,16,id.,C,,,,,,,,,,,,,,,2,,,,,,,3,,,,6,2,,,,,,,,,,,2,,,,,,,,,,,,11,4,,,11,4,16,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,17,id.,D,,,,17,,27,,59,,,57,,,4,76,,1,5,19,,,38,29,,,42,8,,,20,,,,6,1,,,2,,,,1,,,,,,,,118,293,,1,118,294,17,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,18,Lettergieters,D,,,,2,,3,,6,,,6,,,,8,,,1,2,,,3,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,8,29,,,8,29,18,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,19,Letterzetters,C,,,,,,,,1,,,2,,,,2,,,,2,,,4,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,8,10,,,8,10,19,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,20,id.,D,,1,,20,,42,,127,,,134,,,3,234,,,10,62,,,112,54,,,68,14,,,13,3,,,9,,,,2,1,,,1,,,,,,,,218,692,,,218,692,20,BT,1889_02_T3,126,127,HET RIJK,29_0432
,B.,,"Steendrukkerij, hout-, koper-, staalgravure, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,21,Lineerders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,21,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,22,id.,D,,,,,,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,22,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,23,Plaatdrukkers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,23,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,24,id.,D,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,24,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,25,Steendrukkers,A,,,,,,,,,,,,,,,,,,,1,,,2,1,,,5,2,,,2,,,,,,,,,1,,,,,,,,,,,9,5,,,9,5,25,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,26,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,26,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,27,id.,D,,,,1,,5,,10,,,12,,,,16,,,1,4,,,11,8,,,4,4,,,3,,,,,,,,,,,,,,,,,,,,19,60,,,19,60,27,BT,1889_02_T3,126,127,HET RIJK,29_0432
,C.,,"Photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,28,Photgrafen,A,,,,,,,,,,,,,,,5,,,,1,,,21,7,,,27,2,,,7,1,1,,3,,,,2,,,,1,,,,,,,,61,16,1,,62,16,28,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,29,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,29,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,30,id.,D,,,,,,3,,3,,,8,,,1,18,,1,,5,1,,3,5,,,3,1,,,,,,,,,,,,,,,,,,,,,,,7,43,1,1,8,44,30,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,31,Retoucheurs,D,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,31,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor II,A,,,,,,,,,,,,,,,12,,,2,10,,,64,39,,,113,21,2,,54,6,1,,20,1,,,8,1,,,17,2,1,,,,,,278,92,4,,282,92,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor II,B,,,,,,,,,,,,,,,1,,,,,,,4,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,4,,,6,4,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor II,C,,,,,,,,1,,,2,,,,4,,,,2,,,9,1,,,12,4,,,1,,,,,,,,2,,,,,,,,,,,,24,14,,,24,14,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor II,D,,2,,47,,108,,250,2,,261,,,8,436,,2,20,108,1,,192,124,,,151,31,,,46,10,,,20,1,,,6,1,,,4,,,,,,,,447,1379,1,4,448,1383,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,Totaal voor groep II,,,2,0,47,0,108,0,251,2,0,263,0,0,8,453,0,2,22,120,1,0,269,167,0,0,276,56,2,0,103,16,1,0,40,2,0,0,16,2,0,0,21,2,1,0,0,0,0,0,755,1489,5,4,760,1493,,BT,1889_02_T3,126,127,HET RIJK,29_0432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,126,127,HET RIJK,29_0432
III,,,"Bouwbedrijven, (incl,reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten;ook ook gemeentelijke dienst).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
,A.,,"Gas- en waterleiding, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,1,Aanleggers gas- en waterleiding,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,2,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,3,Waterleidingexploitatie,A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,3,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,4,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,4,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,6,1,,,6,,,,,,,,,,,,2,,,,,,,,,,,,14,1,,,14,1,5,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,6,id.,D,,,,,,,,,,,1,,,1,2,,,2,1,,,32,5,,,19,,,,6,,,,,,,,1,,,,1,,,,,,,,62,9,,,62,9,6,BT,1889_02_T3,128,129,HET RIJK,29_0433
,B.,,"Bouw van huizen, molens, enz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,7,Architecten,A,,,,,,,,,,,,,,,6,,,,7,,,34,28,,,49,6,,,27,2,,,8,,,,1,,,,2,,,,,,,,121,49,,,121,49,7,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,8,"Dekkers, (lei-, pannen-, stroo- en riet-)",A,,,,,,,,,,,,,,4,2,,,1,3,,,57,23,,,117,18,,,61,4,1,,28,1,,,12,2,,,25,1,1,,,,,,305,54,2,,307,54,8,BT,1889_02_T3,128,129,HET RIJK,29_0433
,,9,id.,D,,1,,,,2,,4,,,8,,,1,38,,,3,12,,,14,24,,,11,5,,,4,,,,6,1,,,2,,,,,,,,,,,,41,95,,,41,95,9,BT,1889_02_T3,128,129,HET RIJK,29_0433
