"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"121878",,"131876",,"14---151875  ---1874",,"16---171873  ---1872",,,,"18---221871  ---1867",,,,"23---241866  ---1865",,,,"25---351864  ---1854",,,,"36---501853  ---1839",,,,"51---601838  ---1829",,,,"61---651828  ---1824",,,,"66---701823---1818",,,,"71endaarboven1818envroeger",,,,"Vanonbekendenleeftijd",,,,"TOTAALDERMANNEN",,"TOTAALDERVROUWEN",,"TOTAALDERMANNENENVROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,32,Fabricage van tras,A,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,1,2,32,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,33,id.,D,,,,,,,,,,,,,,,1,,,,,,,2,,,,6,,,,1,,,,,,,,,,,,1,,,,,,,,10,1,,,10,1,33,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,34,Zandwasschers,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,34,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,35,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,35,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,E.,,"Steenen, dakpannen, draineerbuizen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,36,Fabricage van dakpannen (paanenbakkers),A,,,,,,,,,,,,,,,,,,1,1,,,19,3,,,24,4,,,12,4,,,5,,,,3,,1,,2,,,,,,,,66,12,1,,67,12,36,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,37,id.,B,,,,,,,,,,,,,,,,,,,,,,1,2,,,5,2,,,1,,,,,,,,,,,,,,,,,,,,7,4,,,7,4,37,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,38,id.,C,,,,,,,,,,,,,,,1,,,,,,,2,1,,,18,1,,,4,,,,1,,,,,,,,,,,,,,,,25,3,,,25,3,38,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,39,id.,D,,,,6,,9,,17,1,,27,,,6,70,,1,10,20,,,82,40,2,,112,17,5,,47,4,8,,18,2,2,,11,,2,,2,,,,,,,,288,212,19,2,307,214,39,BT,1889_02_T4,186,187,HET RIJK,29_0462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,186,187,HET RIJK,29_0462
,I,,1,Fabricage van draineerbuizen,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,2,Fabricage van kunststeen,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,3,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,4,id.,D,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,4,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,5,"Fabricage van steen (molensteen, steenbakkers, tegelbakkers)",A,,,,,,,,,,,1,,,1,1,,,1,1,,,30,19,,,54,8,2,,32,8,3,,13,4,3,,7,1,,,10,1,,,,,,,148,44,8,,156,44,5,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,6,id.,B,,,,,,,,,,,,,,,1,,,1,2,,,5,12,1,,13,3,,,6,,,,2,,,,2,,,,1,,,,,,,,30,18,1,,31,18,6,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,7,id.,C,,,,,,,,,,,,,,,9,,,1,2,,,26,12,,,59,3,,,23,,,,16,1,,,11,,,,3,,,,,,,,139,27,,,139,27,7,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,8,id.,D,,5,3,24,9,46,12,168,49,,253,,47,21,861,9,101,64,279,1,21,732,647,42,38,1290,125,77,12,498,53,36,2,165,5,5,2,89,1,10,1,37,1,4,,,,,,2896,2468,184,297,3080,2765,8,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,9,Steenhouwers,A,,,,,,,,,,,,,,,,,,,1,,,2,1,,,10,1,,,4,,,,,,1,,1,,1,,,,,,,,,,17,3,2,,19,3,9,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,10,id.,B,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,10,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,11,id.,D,,,,1,,,,8,,,7,,,,8,,,1,1,,,16,8,,,5,1,,,3,1,,,,,,,,,,,,,,,,,,,25,35,,,25,35,11,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor I,A,,,,,,,,,,,1,,,1,1,,,2,4,,,60,31,1,,104,13,3,,56,13,3,,21,4,4,,11,1,3,,15,1,,,,,,,270,69,14,,284,69,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor I,B,,,,,,,,,,,1,,,,1,,,1,2,,,9,14,1,,21,5,,,9,,,,3,,,,3,1,,,2,,,,,,,,48,24,1,,49,24,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor I,C,,,,,,,,,,,,,,,13,,,2,2,,,34,16,,,85,5,,,31,,,,18,1,,,12,,,,4,,,,,,,,186,37,,,186,37,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor I,D,,8,5,57,9,99,15,288,62,,384,,63,41,1127,10,121,103,350,1,21,1018,775,44,39,1635,155,82,12,631,62,44,2,202,8,7,2,120,1,12,1,54,2,4,,,,,,3804,3316,204,352,4008,3668,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor groep I,,,8,5,57,9,99,15,288,62,0,386,0,63,42,1142,10,121,108,358,1,21,1121,836,46,39,1845,178,85,12,727,75,47,2,244,13,11,2,146,3,15,1,75,3,4,0,0,0,0,0,4308,3446,219,352,4527,3798,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,II,,,"Boek- en steendrukkerij, hout-, koper-, staalgravure, photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,A.,,"Boekdrukkerij, lettervervaardiging; enz. (incl. Landsdrukkerij).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,12,Boekbinders,A,,,,,,,,,,,2,,,2,2,,,,1,,,8,5,,,9,4,,,7,,,,3,,,,2,,,,1,,,,,,,,32,14,,,32,14,12,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,13,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,13,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,14,id.,D,,,,6,,7,,10,,,22,,,,9,,,1,8,,,2,10,,,7,1,,,3,1,,,,,,,,,,,,,,,,,,,13,74,,,13,74,14,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,15,Boekdrukkers,A,,,,,,,,,,,,,,,1,,,2,,,,13,9,,,27,2,,,6,2,,,1,,,,,1,,,1,,,,,,,,50,15,,,50,15,15,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,16,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,16,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,17,id.,C,,,,,,,,,,,,,,,1,,,,1,,,1,4,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,6,6,,,6,6,17,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,18,id.,D,,,,4,,10,,56,,,34,,,2,32,,1,2,1,,,17,9,,,8,5,,,6,4,,,3,,,,,,,,1,,,,,,,,39,155,,1,39,156,18,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,19,Letterzetters,C,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,19,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,20,id.,D,,1,,3,,17,,52,,,40,,,1,70,,,3,13,,,19,19,,,10,4,,,1,,,,2,,,,1,,,,,,,,,,,,37,219,,,37,219,20,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,B.,,"Steendrukkerij, hout-, koper-, staalgravure, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,21,Steendrukkers,A,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,2,,,,1,,,,1,,,,,,,,,,,,6,2,,,6,2,21,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,22,id.,D,,,,2,,1,,3,,,2,,,,5,,,1,1,,,,3,,,2,,,,1,,,,2,,,,1,,,,,,,,,,,,7,17,,,7,17,22,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,C.,,"Photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,23,Photographen,A,,,,,,,,,,,,,,,2,,,2,1,,,2,2,,1,6,2,,,1,,,,,,,,,,,,1,,,,,,,,12,7,,1,12,8,23,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,24,id.,D,,,,,,,,,,,1,,,,1,,,,1,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,2,5,24,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor II,A,,,,,,,,,,,2,,,2,6,,,4,2,,,24,17,,1,43,8,,,16,2,,,5,,,,3,1,,,3,,,,,,,,100,38,,1,100,39,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor II,B,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor II,C,,,,,,,,,,,,,,,1,,,,1,,,3,4,,,4,2,,,2,,,,,,,,1,,,,,,,,,,,,10,8,,,10,8,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor II,D,,1,,15,,35,,121,,,99,,,3,117,,1,7,24,,,39,43,,,28,10,,,11,5,,,7,,,,2,,,,1,,,,,,,,98,470,,1,98,471,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,Totaal voor groep II,,,1,0,15,0,35,0,121,0,0,101,0,0,5,124,0,1,11,27,0,0,67,64,0,1,77,20,0,0,29,7,0,0,12,0,0,0,6,1,0,0,4,0,0,0,0,0,0,0,211,516,,2,211,518,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,III,,,"Bouwbedrijven, (incl. reiniging van gebouwen en aanleggen, onderhouden en reinigen van wegen en straten; ook gemeentelijke dienst).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,A.,,"Gas- en waterleiding, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,25,Aanleggers gas- en waterleiding,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,25,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,26,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,26,BT,1889_02_T4,188,189,HET RIJK,29_0463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,188,189,HET RIJK,29_0463
,III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,1,Waterleidingexploitatie,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,2,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,3,id.,C,,,,,,,,,,,,,,,,,,1,,,,2,3,,,6,,,,2,,,,1,,,,2,,,,,,,,,,,,14,3,,,14,3,3,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,4,id.,D,,,,,,,,,,,2,,,,2,,,1,3,,,19,1,,,13,,,,3,,,,1,,,,,,,,,,,,,,,,37,8,,,37,8,4,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,B.,,"Bouw van huizen, molens, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,5,Architecten,A,,,,,,,,,,,,,,,5,,,,6,,,15,18,,,25,7,,,10,2,,,3,,,,4,,,,5,,,,,,,,62,38,,,62,38,5,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,6,"Dekkers (lei-, pannen-, stroo- en riet)",A,,,,,,,,,,,,,,2,10,,,4,4,,,148,48,,,363,29,,,217,15,1,,85,3,,,58,4,1,1,80,3,,,,,,,957,116,2,1,959,117,6,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,7,id.,B,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,7,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,8,id.,C,,,,,,,,,,,,,,,,,,,1,,,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,3,5,,,3,5,8,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,9,id.,D,,1,,1,,9,,14,,,37,,,1,111,,,6,35,,,49,92,,,47,13,,,18,3,,,12,1,,,5,1,,,4,,,,,,,,142,318,,,142,318,9,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,10,Fundeeringmakers,D,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,10,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,11,Glazenmakers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,11,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,12,id.,D,,,,,,2,,,,,1,,,,4,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,2,8,12,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,13,Loodgieters,A,,,,,,,,,,,1,,,,2,,,,,,,19,4,,,22,3,,,11,,,,6,,,,5,,1,,4,,,,,,,,67,10,1,,68,10,13,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,14,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,14,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,15,id.,D,,,,,,2,,6,,,7,,,1,28,,,,7,,,18,12,,,9,3,,,3,,,,1,,,,1,,,,1,,,,,,,,34,65,,,34,65,15,BT,1889_02_T4,190,191,HET RIJK,29_0464
,,,16,Metselaars,A,,,,,,,,,,,6,,,6,46,,,17,40,,,528,202,3,,1004,125,6,,522,31,3,,203,12,2,,157,4,3,,144,6,3,,1,,,,2582,472,20,,2602,472,16,BT,1889_02_T4,190,191,HET RIJK,29_0464
